searchUUID,naId,name,variantNames,slug
895d4650-17ab-11eb-8f3b-9d3a470d8ed5,178960290,"Soboba Band of Luiseno Indians, California",Soboba Band of Luiseno Indians,soboba-band-of-luiseno-indians-california-178960290
895d6d60-17ab-11eb-8f3b-9d3a470d8ed5,178960292,Southern Ute Indian Tribe,,southern-ute-indian-tribe-178960292
895d6d61-17ab-11eb-8f3b-9d3a470d8ed5,178960295,Sycuan Band of the Kumeyaay Nation,,sycuan-band-of-the-kumeyaay-nation-178960295
895d6d62-17ab-11eb-8f3b-9d3a470d8ed5,178960297,Tohono O’odham Nation of Arizona,,tohono-oodham-nation-of-arizona-178960297
895d6d63-17ab-11eb-8f3b-9d3a470d8ed5,178960299,"Torres-Martinez Desert Cahuilla Indians, California",,torres-martinez-desert-cahuilla-indians-california-178960299
895d6d64-17ab-11eb-8f3b-9d3a470d8ed5,178960301,Tule River Indian Tribe of California,,tule-river-indian-tribe-of-california-178960301
895d6d65-17ab-11eb-8f3b-9d3a470d8ed5,178960303,Viejas Band Of Kumeyaay Indians,Viejas Group of Capitan Grande Band of Mission Indians,viejas-band-of-kumeyaay-indians-178960303
895d6d66-17ab-11eb-8f3b-9d3a470d8ed5,178960306,Wichita and Affiliated Tribes,,wichita-and-affiliated-tribes-178960306
895d6d67-17ab-11eb-8f3b-9d3a470d8ed5,178960732,Minnesota Chippewa Tribe. Leech Lake Band of Ojibwe,,minnesota-chippewa-tribe-leech-lake-band-of-ojibwe-178960732
895d6d68-17ab-11eb-8f3b-9d3a470d8ed5,10441854,White Mountain Apache Tribe,,white-mountain-apache-tribe-10441854
895d6d69-17ab-11eb-8f3b-9d3a470d8ed5,10442583,"Chippewa Cree Tribe of the Rocky Boy's Reservation, Montana",,chippewa-cree-tribe-of-the-rocky-boys-reservation-montana-10442583
895d6d6a-17ab-11eb-8f3b-9d3a470d8ed5,10443053,Pechanga Band of Luiseno Indians,,pechanga-band-of-luiseno-indians-10443053
895d6d6b-17ab-11eb-8f3b-9d3a470d8ed5,10443807,Minnesota Chippewa Tribe. Fond du Lac Band of Lake Superior Chippewa,,minnesota-chippewa-tribe-fond-du-lac-band-of-lake-superior-chippewa-10443807
895d6d6c-17ab-11eb-8f3b-9d3a470d8ed5,10443808,Minnesota Chippewa Tribe. Bois Forte Band of Chippewa,,minnesota-chippewa-tribe-bois-forte-band-of-chippewa-10443808
895d6d6d-17ab-11eb-8f3b-9d3a470d8ed5,10444182,Minnesota Chippewa Tribe. White Earth Nation,,minnesota-chippewa-tribe-white-earth-nation-10444182
895d6d6e-17ab-11eb-8f3b-9d3a470d8ed5,10444184,Agua Caliente Band of Cahuilla Indians,,agua-caliente-band-of-cahuilla-indians-10444184
895d6d6f-17ab-11eb-8f3b-9d3a470d8ed5,10444475,Standing Rock Sioux Tribe of North & South Dakota,Standing Rock Sioux Tribe,standing-rock-sioux-tribe-of-north-south-dakota-10444475
895d6d70-17ab-11eb-8f3b-9d3a470d8ed5,10444557,Cheyenne River Sioux Tribe,Cheyenne River Lakota Nation (Oyate),cheyenne-river-sioux-tribe-10444557
895d6d71-17ab-11eb-8f3b-9d3a470d8ed5,10446355,Confederated Tribes and Bands of the Yakama Nation,,confederated-tribes-and-bands-of-the-yakama-nation-10446355
895d6d72-17ab-11eb-8f3b-9d3a470d8ed5,12024135,Lower Yanktonai Sioux Tribe,,lower-yanktonai-sioux-tribe-12024135
895d6d73-17ab-11eb-8f3b-9d3a470d8ed5,175649119,"Mandan, Hidatsa, and Arikara Nation","Three Affiliated Tribes of the Fort Berthold Reservation, North Dakota",mandan-hidatsa-and-arikara-nation-175649119
895d6d74-17ab-11eb-8f3b-9d3a470d8ed5,175649122,"Spirit Lake Tribe, North Dakota",Spirit Lake Tribe,spirit-lake-tribe-north-dakota-175649122
895d6d75-17ab-11eb-8f3b-9d3a470d8ed5,175704069,Prairie Band Potawatomi Nation,Prairie Band Of Potawatomi Nation,prairie-band-potawatomi-nation-175704069
895d6d76-17ab-11eb-8f3b-9d3a470d8ed5,175776216,Menominee Indian Tribe of Wisconsin,,menominee-indian-tribe-of-wisconsin-175776216
895d6d77-17ab-11eb-8f3b-9d3a470d8ed5,175776227,Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,Blackfeet Indian Tribe,blackfeet-tribe-of-the-blackfeet-indian-reservation-of-montana-175776227
895d6d78-17ab-11eb-8f3b-9d3a470d8ed5,175776235,Shoshone-Bannock Tribes of the Fort Hall Reservation of Idaho,Shoshone and Bannock Tribes,shoshone-bannock-tribes-of-the-fort-hall-reservation-of-idaho-175776235
895d6d79-17ab-11eb-8f3b-9d3a470d8ed5,175776240,"Duckwater Shoshone Tribe of the Duckwater Reservation, Nevada",Duckwater Shoshone Tribe,duckwater-shoshone-tribe-of-the-duckwater-reservation-nevada-175776240
895d6d7a-17ab-11eb-8f3b-9d3a470d8ed5,175776245,"Confederated Tribes of the Colville Reservation, Washington",Colville Confederated Tribes,confederated-tribes-of-the-colville-reservation-washington-175776245
895d6d7b-17ab-11eb-8f3b-9d3a470d8ed5,175776247,"Comanche Nation, Oklahoma",Comanche Indian Tribe,comanche-nation-oklahoma-175776247
